State,1960,1970,1980,1990,2000,2017,1970-2017,,,,,
Alabama,10000,9140,8835,9300,9100,9525,385,,,,,
Alaska,300,300,960,2400,3500,5750,"5,450",,,,,
Arizona,14800,21000,41285,71500,81500,106725,"85,725",,,,,
Arkansas,3400,3030,3395,2000,1600,2225,-805,,,,,
California,530300,721045,753945,919500,994000,1230540,"509,495",,,,,
Colorado,21300,26475,31765,50000,72000,102600,"76,125",,,,,
Connecticut,101300,105000,102035,113200,108000,117850,"12,850",,,,,
Delaware,8500,9000,10000,9500,13500,15100,"6,100",,,,,
District of Columbia,40300,15000,40000,25400,25500,28000,"13,000",,,,,
Florida,112100,260000,454880,567000,628000,621460,"361,460",,,,,
Georgia,24800,25650,34610,72500,93500,128520,"102,870",,,,,
Hawai'i,700,1500,5625,7000,7000,7100,"5,600",,,,,
Idaho,500,630,505,450,1000,2125,"1,495",,,,,
Illinois,297300,284285,266385,257400,270000,298035,"13,750",,,,,
Indiana,24700,24275,23485,18300,18000,17345,"-6,930",,,,,
Iowa,9100,8610,8215,6350,6400,5450,"-3,160",,,,,
Kansas,3200,2100,10755,14000,14500,17300,"15,200",,,,,
Kentucky,11000,10745,11585,11800,11000,11200,455,,,,,
Louisiana,16100,16115,16340,15700,16500,13900,"-2,215",,,,,
Maine,8100,7295,6800,8400,8000,12550,"5,255",,,,,
Maryland,118100,187110,185915,211000,216000,240000,"52,890",,,,,
Massachusetts,226100,267440,249455,276000,275000,293080,"25,640",,,,,
Michigan,102700,93530,90200,107300,110000,83155,"-10,375",,,,,
Minnesota,34900,34475,34990,30500,42000,45600,"11,125",,,,,
Mississippi,4000,4125,3200,1900,1400,1525,"-2,600",,,,,
Missouri,80900,84325,71790,61600,62500,64275,"-20,050",,,,,
Montana,600,845,645,450,800,1395,550,,,,,
Nebraska,9000,8290,7905,7400,7000,9350,"1,060",,,,,
Nevada,2400,3380,17200,20500,77000,76300,"72,920",,,,,
New Hampshire,5200,4000,4480,7000,10000,10120,"6,120",,,,,
New Jersey,326300,412465,442765,430000,468000,545450,"132,985",,,,,
New Mexico,2700,2700,7155,6400,10500,12625,"9,925",,,,,
New York,2533900,2535870,2140690,1843000,1653000,1759570,"-776,300",,,,,
North Carolina,10300,10165,13240,16300,25500,35435,"25,270",,,,,
North Dakota,1400,1250,1085,750,700,400,-850,,,,,
Ohio,162200,158560,144670,130800,142000,147715,"-10,845",,,,,
Oklahoma,6400,5940,6065,5300,5000,4625,"-1,315",,,,,
Oregon,8800,8785,10835,12500,31000,40650,"31,865",,,,,
Pennsylvania,454600,471930,419730,330500,283000,291140,"-180,790",,,,,
Rhode Island,24700,22280,22000,16100,16000,18750,"-3,530",,,,,
South Carolina,7100,7815,8660,9300,11000,13820,"6,005",,,,,
South Dakota,900,760,595,350,350,250,-510,,,,,
Tennessee,16800,17415,16765,19400,18000,19800,"2,385",,,,,
Texas,60900,67505,72545,109000,128000,166505,"99,000",,,,,
Utah,1500,1900,2300,3100,4500,5650,"3,750",,,,,
Vermont,2500,1855,2465,4800,5800,5985,"4,130",,,,,
Virginia,31200,41215,59360,67600,76000,95695,"54,480",,,,,
Washington,13200,15230,18385,32800,43500,72185,"56,955",,,,,
West Virginia,5200,4880,4340,2400,2400,2310,"-2,570",,,,,
Wisconsin,38400,32150,29750,34700,28000,33055,905,,,,,
Wyoming,800,345,310,450,400,1150,805,,,,,
Total,5531500,6059730,5920895,5980900,6136950,6850865,"791,135",,,,,
